location,star,name,competitors,counts
北京,3,富驿时尚酒店(北京亦庄创意生活广场店),"7天连锁酒店(北京西站北广场店),汉庭酒店(北京良乡大学城店),城市便捷酒店(北京怀柔万达广场店),朗丽兹酒店(北京亦庄桥地铁站店),如家酒店(北京传媒大学西门店),速8酒店(北京方庄地铁站店)","2,2,2,1,1,1"
北京,2,盒子空间(北京朝阳北路中传旗舰店),,
北京,5,北京海湾半山温泉酒店,"如家酒店(北京传媒大学西门店),7天连锁酒店(北京西站北广场店),汉庭酒店(北京良乡大学城店)","3,1,1"
北京,2,云川3D电影酒店(北京鸟巢对外经贸店),"如家酒店(北京传媒大学西门店),北京石景山游乐园希尔顿欢朋酒店","1,1"
北京,5,北京长白山国际酒店,"如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店),城市便捷酒店(北京怀柔万达广场店),北京石景山游乐园希尔顿欢朋酒店,桔子酒店(北京三里屯太古里店)","3,2,2,1,1"
北京,2,富润宾馆(牛街宣武医院店),如家酒店(北京传媒大学西门店),2
北京,4,秋果酒店(北京新国展首都机场三店),,
北京,4,麦语云栖度假别墅(北京古北店),,
北京,3,华商酒店(北京三元桥燕莎店),"如家酒店(北京传媒大学西门店),7天连锁酒店(北京西站北广场店),秋果酒店(北京新国展首都机场店),喆啡酒店(北京传媒大学双桥地铁站万达广场店),速8酒店(北京方庄地铁站店),汉庭酒店(北京良乡大学城店)","4,2,2,1,1,1"
北京,3,时光漫步怀旧主题酒店(北京雍和宫南锣鼓巷后海店),"如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店),北京南站亚朵酒店,桔子水晶北京安贞酒店","7,4,1,1"
北京,4,北京君颐润华酒店,如家酒店(北京传媒大学西门店),1
北京,5,北京友谊宾馆贵宾楼,"汉庭酒店(北京良乡大学城店),秋果S1918庭院式酒店(北京天安门店),派酒店(北京沙河地铁站店)","2,2,1"
北京,5,北京西苑饭店,"如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店),白玉兰酒店(北京西客站店),桔子水晶北京前门酒店,桔子酒店(北京三里屯太古里店),麗枫酒店(北京十八里店老君堂店),格林豪泰(北京市首都机场第二店)","4,3,1,1,1,1,1"
北京,5,北京赛特饭店,"如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店),和颐酒店(北京石景山万达广场店),北京华彬费尔蒙酒店","3,1,1,1"
北京,5,北京唯实酒店(唯实国际文化交流中心),"7天连锁酒店(北京西站北广场店),如家酒店(北京传媒大学西门店),和颐酒店(北京石景山万达广场店),汉庭酒店(北京良乡大学城店),北京南站亚朵酒店","1,1,1,1,1"
北京,4,时光赞歌花园酒店(北京大兴国际机场旺兴湖公园店),北京石景山游乐园希尔顿欢朋酒店,1
北京,2,如家酒店(北京东直门雍和宫簋街店),北京和平里旅居酒店,1
北京,4,秋果S酒店·1924(北京五棵松解放军总医院店),"秋果酒店(北京新国展首都机场店),秋果S1918庭院式酒店(北京天安门店),全季酒店(北京八一电影制片厂店),锦江之星品尚(北京苹果园地铁站店),喆啡酒店(北京传媒大学双桥地铁站万达广场店),如家酒店(北京传媒大学西门店)","22,3,2,1,1,1"
北京,5,北京长城饭店,"如家酒店(北京传媒大学西门店),全季酒店(北京八一电影制片厂店),北京南站亚朵酒店,北京石景山游乐园希尔顿欢朋酒店,7天连锁酒店(北京西站北广场店),北京王府半岛酒店,秋果酒店(北京新国展首都机场店),汉庭酒店(北京良乡大学城店),北京瑰丽酒店,派酒店(北京沙河地铁站店)","6,4,3,3,3,1,1,1,1,1"
北京,5,北京璞邸酒店,"桔子水晶北京前门酒店,桔子酒店(北京三里屯太古里店),如家酒店(北京传媒大学西门店),北京石景山游乐园希尔顿欢朋酒店","3,3,1,1"
北京,2,沁雅公寓(北京三里屯店),,
北京,2,北方朗悦酒店(北京青年湖店),"7天连锁酒店(北京西站北广场店),汉庭酒店(北京良乡大学城店)","1,1"
北京,5,北京丽都皇冠假日酒店,"北京石景山游乐园希尔顿欢朋酒店,如家酒店(北京传媒大学西门店),和颐酒店(北京石景山万达广场店)","1,1,1"
北京,3,途客中国酒店(北京杜家坎园博园店),"全季酒店(北京八一电影制片厂店),汉庭酒店(北京良乡大学城店),桔子酒店(北京三里屯太古里店)","4,2,1"
北京,3,映向城酒店(北京南锣鼓巷雍和宫店),"北京石景山游乐园希尔顿欢朋酒店,速8酒店(北京方庄地铁站店)","1,1"
北京,2,行舍酒店(北京护国寺平安里地铁站店),"如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店),7天连锁酒店(北京西站北广场店)","2,1,1"
北京,2,北京紫御湾酒店,,
北京,4,秋果酒店(北京中关村生命科学园店),全季酒店(北京八一电影制片厂店),1
北京,3,维也纳智好酒店(北京国贸建国门地铁站店),,
北京,3,北京金鼎弘泰大酒店,"速8酒店(北京方庄地铁站店),全季酒店(北京八一电影制片厂店),如家酒店(北京传媒大学西门店)","1,1,1"
北京,2,格林豪泰(北京延庆高塔路万达广场店),"格林豪泰酒店(北京方庄店),如家酒店(北京传媒大学西门店)","2,1"
北京,5,北京唐拉雅秀酒店,"如家酒店(北京传媒大学西门店),北京石景山游乐园希尔顿欢朋酒店,桔子酒店(北京三里屯太古里店),桔子水晶北京南站木樨园酒店,北京南站亚朵酒店,全季酒店(北京八一电影制片厂店),如家精选酒店(北京农展长虹桥店),汉庭酒店(北京良乡大学城店)","4,2,2,1,1,1,1,1"
北京,2,7天连锁酒店(北京国家会议中心北沙滩地铁站店),"7天酒店(北京西站南广场店),如家酒店(北京传媒大学西门店),派酒店(北京沙河地铁站店)","1,1,1"
北京,3,如家酒店neo(北京大红门地铁站店),如家商旅酒店(北京站店),1
北京,5,北京临空皇冠假日酒店,"北京石景山游乐园希尔顿欢朋酒店,7天连锁酒店(北京西站北广场店),维也纳3好酒店(北京昌平沙河地铁站店),如家酒店(北京传媒大学西门店),桔子水晶北京前门酒店,桔子酒店(北京三里屯太古里店)","2,2,1,1,1,1"
北京,2,7天连锁酒店(北京南站永定门外地铁站店),"速8酒店(北京方庄地铁站店),7天酒店(北京西站南广场店),如家酒店(北京传媒大学西门店),7天优品酒店(北京三里屯团结湖地铁站店)","4,3,2,1"
北京,2,7天优品酒店(北京花园桥地铁站店),,
北京,3,北京泰悦豪庭酒店,Parkside Inn 帕格森蒂·悦居酒店,1
北京,4,和颐酒店(北京前门店),"如家酒店(北京传媒大学西门店),北京望京智选假日酒店,格林豪泰智选酒店(北京八达岭长城康庄店),锦江之星(北京珠市口店),维也纳3好酒店(北京昌平沙河地铁站店),维也纳酒店(北京昌平科技园店),汉庭酒店(北京良乡大学城店)","6,1,1,1,1,1,1"
北京,5,北京海淀永泰福朋喜来登酒店,"汉庭酒店(北京良乡大学城店),北京石景山游乐园希尔顿欢朋酒店","4,1"
北京,4,维纳斯皇家酒店(北京密云店),"维也纳3好酒店(北京昌平沙河地铁站店),维也纳酒店(北京昌平科技园店),如家酒店(北京传媒大学西门店)","6,3,1"
北京,3,桔子酒店(北京三元桥店),"如家酒店(北京传媒大学西门店),桔子水晶北京前门酒店,汉庭酒店(北京良乡大学城店),北京总部基地亚朵酒店,如家精选酒店(北京农展长虹桥店),全季酒店(北京八一电影制片厂店)","7,4,3,2,1,1"
北京,5,北京东方美爵酒店,"汉庭酒店(北京良乡大学城店),7天连锁酒店(北京西站北广场店),秋果酒店(北京新国展首都机场店),锦江之星(北京珠市口店)","2,1,1,1"
北京,2,城市便捷酒店(北京怀柔万达广场店),"速8酒店(北京方庄地铁站店),如家酒店(北京传媒大学西门店)","1,1"
北京,2,速8酒店(北京国展西坝河店),,
北京,4,桔子水晶北京华贸中心青年之光酒店,桔子水晶北京朝阳公园青年之光酒店,2
北京,4,北京子美酒店,"如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店),北京南站亚朵酒店,喆啡酒店(北京传媒大学双桥地铁站万达广场店),7天连锁酒店(北京西站北广场店)","8,2,1,1,1"
北京,2,北京乐游饭店,"汉庭酒店(北京良乡大学城店),锦江之星(北京珠市口店)","1,1"
北京,3,北京俊世酒店,,
北京,3,希岸酒店(北京昌平地铁站鼓楼南大街店),"麗枫酒店(北京十八里店老君堂店),汉庭酒店(北京良乡大学城店),锦江之星(北京珠市口店),北京南站亚朵酒店","2,1,1,1"
北京,2,七日宾馆(北京工体东大桥地铁站店),,
北京,2,北京乐乎酒店(鼓楼大街地铁站店),速8酒店(北京方庄地铁站店),1
北京,3,宜必思酒店(北京昌平地铁站店),"如家酒店(北京传媒大学西门店),如家精选酒店(北京农展长虹桥店)","3,2"
北京,4,康福瑞连锁酒店(北京学院南路店),"如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店),格雅酒店(北京通州环球梨园店),速8酒店(北京方庄地铁站店),海友酒店(北京昌平府学路店),全季酒店(北京八一电影制片厂店)","3,1,1,1,1,1"
北京,2,新华苑宾馆(北京宣武门地铁站店),速8酒店(北京方庄地铁站店),4
北京,5,北京工大建国饭店,"如家酒店(北京传媒大学西门店),锦江之星(北京珠市口店),北京唐拉雅秀酒店","1,1,1"
北京,5,北京丰大国际大酒店,北京石景山游乐园希尔顿欢朋酒店,1
北京,3,北京诚辉商务酒店,"7天连锁酒店(北京西站北广场店),如家酒店(北京传媒大学西门店)","1,1"
北京,5,北京国二招宾馆(东楼),"7天连锁酒店(北京西站北广场店),北京南站亚朵酒店,汉庭酒店(北京良乡大学城店),全季酒店(北京八一电影制片厂店),如家酒店(北京传媒大学西门店),派酒店(北京沙河地铁站店),北京石景山游乐园希尔顿欢朋酒店","2,1,1,1,1,1,1"
北京,3,北京舒十度酒店,"北京总部基地亚朵酒店,如家酒店(北京传媒大学西门店),汉庭酒店(北京良乡大学城店),桔子水晶北京前门酒店,桔子酒店(北京三里屯太古里店)","3,2,1,1,1"
北京,2,皓阳宾馆(北京天安门广场店),"如家酒店(北京传媒大学西门店),速8酒店(北京方庄地铁站店),7天连锁酒店(北京西站北广场店),IU酒店(北京丽泽商务区七里庄地铁站店)","2,1,1,1"
北京,4,秋果酒店(北京天安门广场前门大栅栏店),"全季酒店(北京八一电影制片厂店),北京南站亚朵酒店,如家酒店(北京传媒大学西门店),漫心北京天安门王府井酒店","2,2,1,1"
北京,2,99旅馆连锁(北京大红门石榴庄地铁站店),7天连锁酒店(北京西站北广场店),2
北京,5,北京鹏润国际大酒店,"如家酒店(北京传媒大学西门店),桔子水晶北京前门酒店,桔子酒店(北京三里屯太古里店),汉庭酒店(北京良乡大学城店),北京石景山游乐园希尔顿欢朋酒店","1,1,1,1,1"
北京,3,希岸·轻雅酒店(北京俸伯地铁站店),格林豪泰(北京市首都机场第二店),2
北京,5,北京朗丽兹西山花园酒店,"朗丽兹酒店(北京亦庄桥地铁站店),和颐酒店(北京石景山万达广场店)","14,1"
北京,5,北京金茂怡生园酒店,"北京贝尔特酒店,北京石景山游乐园希尔顿欢朋酒店,北京瑰丽酒店,速8酒店(北京方庄地铁站店)","1,1,1,1"
北京,3,东方圣达文化酒店(北京天安门王府井店),"如家酒店(北京传媒大学西门店),全季酒店(北京八一电影制片厂店),和颐至尚酒店(北京王府井地铁站步行街店),和颐酒店(北京石景山万达广场店),汉庭酒店(北京良乡大学城店),7天连锁酒店(北京西站北广场店)","6,2,1,1,1,1"
北京,3,瑞兆酒店(北京国贸店),"如家酒店(北京传媒大学西门店),7天连锁酒店(北京西站北广场店),北京石景山游乐园希尔顿欢朋酒店","5,2,1"
北京,4,秋果S酒店(北京首都机场二店),"秋果酒店(北京新国展首都机场店),桔子酒店(北京三里屯太古里店),7天优品酒店(北京三里屯团结湖地铁站店),如家酒店(北京传媒大学西门店),7天连锁酒店(北京西站北广场店),北京石景山游乐园希尔顿欢朋酒店,全季酒店(北京八一电影制片厂店),美豪酒店(北京上地软件园店),北京和平里旅居酒店","22,4,3,2,2,2,1,1,1"
北京,2,如家酒店(北京国贸双井地铁站店),"汉庭酒店(北京良乡大学城店),全季酒店(北京八一电影制片厂店),速8酒店(北京方庄地铁站店)","8,1,1"
