名称	入住日期	出行目的	评分	评论文本	shortTexts	score	shortTexts-negative	score-negative
北京首都机场精选酒店	2020/2/1	商务出差	4	还不错适合出门办事居住	['还不错适合出门办事居住']	[0.0125889]	[]	[]
北京首都机场精选酒店	2019/8/1	商务出差	4.5	离机場l公里，有专车送达，周边有好吃的名牌店，干淨，安靜。	"['干淨', '安靜', '有专车送达', '周边有好吃的名牌店', '离机場l公里']"	"[0.319832, 0.0001601, 0.021295, 0.0182835, 0.0723029]"	[]	[]
北京首都机场精选酒店	2020/9/1	商务出差	4	有停车场的	['有停车场的']	[0.0783408]	[]	[]
北京首都机场精选酒店	2020/5/1	商务出差	3.2	停车方便，离机场近。	"['停车方便', '离机场近']"	"[0.0100908, 0.0188384]"	[]	[]
北京首都机场精选酒店	2019/1/1	代人预订	3	出差临时住一下还好，房间里肥牛火锅味道略重，还算干净，电视信号可以，设施略老旧，拖鞋准备了一次性和非一次性两种，也算贴心，只是质量差强人意	"['还算干净', '也算贴心', '出差临时住一下还好', '设施略老旧', '只是质量差强人意', '电视信号可以', '房间里肥牛火锅味道略重', '拖鞋准备了一次性和非一次性两种']"	"[0.123002, 0.0151984, 0.0226779, 0.881864, 0.996676, 0.019055, 0.14662, 0.0882172]"	"['设施略老旧', '只是质量差强人意']"	"[0.881864, 0.996676]"
北京首都机场精选酒店	2019/1/1	朋友出游	4.2	总体卫生不错，因为酒店旁边就是火锅店，所以一进房间有挺大一股火锅味，特别厕所味道有点大，不过入住体验总体来说都挺不错的。	"['总体卫生不错', '不过入住体验总体来说都挺不错的', '所以一进房间有挺大一股火锅味', '特别厕所味道有点大', '因为酒店旁边就是火锅店']"	"[0.00544286, 0.00317224, 0.681139, 0.207091, 0.0296971]"	['所以一进房间有挺大一股火锅味']	[0.681139]
北京首都机场精选酒店	2020/1/1	其他	4	房间虽不大但设施齐全，干净	"['房间虽不大但设施齐全', '干净']"	"[0.00127969, 0.00020404]"	[]	[]
北京首都机场精选酒店	2020/11/1	商务出差	3	还凑合吧，	['还凑合吧']	[0.995787]	['还凑合吧']	[0.995787]
北京首都机场精选酒店	2020/4/1	其他	4.5	机场接送非常方便	['机场接送非常方便']	[0.000120239]	[]	[]
北京首都机场精选酒店	2019/11/1	独自旅行	4.7	前台小姐姐给我升级成有窗的了，开心！	"['前台小姐姐给我升级成有窗的了', '开心']"	"[0.865157, 0.00013265]"	['前台小姐姐给我升级成有窗的了']	[0.865157]
北京首都机场精选酒店	2020/8/1	商务出差	4	还可以吧吧	['还可以吧吧']	[0.09563]	[]	[]
北京首都机场精选酒店	2020/10/1	独自旅行	2.5	没有早餐。	['没有早餐']	[0.827453]	['没有早餐']	[0.827453]
北京首都机场精选酒店	2019/8/1	其他	4.5	离机场很近，设施很新，房间很干净，还会再次预定！	"['设施很新', '离机场很近', '房间很干净', '还会再次预定']"	"[0.00256975, 0.00204103, 0.000899101, 0.000151037]"	[]	[]
北京首都机场精选酒店	2019/6/1	其他	4.5	有事寄存行李在酒店，之后还帮我顺路送到机场，服务很周到。	"['服务很周到', '之后还帮我顺路送到机场', '有事寄存行李在酒店']"	"[0.00833392, 0.00398067, 0.00534469]"	[]	[]
北京首都机场精选酒店	2019/11/1	独自旅行	3.5	无早餐，但是周边有购物中心很方便。	"['但是周边有购物中心很方便', '无早餐']"	"[0.144424, 0.865572]"	['无早餐']	[0.865572]
北京首都机场精选酒店	2018/12/1	商务出差	2.2	在携程上订了这个酒店，必须先付款才能预订，没多想就付了。携程上显示酒店就在机场T2航站楼，距离不到500米，想着赶早班飞机可以多睡会，实际情况让人无语，到了携程显示的地方死活找不到酒店，四处打听也无人知晓，最后电话联系说那个地方只是个接送点，实际酒店离航站楼还有好几公里。好在是两个大老爷们，壮着胆子就去住了，深更半夜的，也没有看见酒店招牌，房间也就乡镇招待所的水平，好在一夜平安无事，早上赶紧离开。严厉谴责携程这种极端不负责任、严重误导消费者的行为，也给其他需要赶早班飞机的朋友们提个醒，不要上当受骗！	"['在携程上订了这个酒店', '携程上显示酒店就在机场T2航站楼', '到了携程显示的地方死活找不到酒店', '没多想就付了', '早上赶紧离开', '实际酒店离航站楼还有好几公里', '也没有看见酒店招牌', '也给其他需要赶早班飞机的朋友们提个醒', '好在一夜平安无事', '不要上当受骗', '好在是两个大老爷们', '想着赶早班飞机可以多睡会', '深更半夜的', '房间也就乡镇招待所的水平', '壮着胆子就去住了', '实际情况让人无语', '四处打听也无人知晓', '距离不到500米', '严厉谴责携程这种极端不负责任', '严重误导消费者的行为', '必须先付款才能预订', '最后电话联系说那个地方只是个接送点']"	"[0.00561357, 0.181416, 0.952089, 0.998737, 0.979079, 0.058961, 0.966929, 0.849434, 0.147188, 0.999963, 0.48131, 0.0429282, 0.621269, 0.99724, 0.360226, 0.999822, 0.371866, 0.569744, 0.999117, 0.999951, 0.861579, 0.661198]"	"['到了携程显示的地方死活找不到酒店', '没多想就付了', '早上赶紧离开', '也没有看见酒店招牌', '也给其他需要赶早班飞机的朋友们提个醒', '不要上当受骗', '深更半夜的', '房间也就乡镇招待所的水平', '实际情况让人无语', '距离不到500米', '严厉谴责携程这种极端不负责任', '严重误导消费者的行为', '必须先付款才能预订', '最后电话联系说那个地方只是个接送点']"	"[0.952089, 0.998737, 0.979079, 0.966929, 0.849434, 0.999963, 0.621269, 0.99724, 0.999822, 0.569744, 0.999117, 0.999951, 0.861579, 0.661198]"
北京首都机场精选酒店	2019/10/1	商务出差	4	挺安静，也挺干净，已经第二次入住了	"['挺安静', '也挺干净', '已经第二次入住了']"	"[0.000990162, 0.000947349, 0.00129536]"	[]	[]
北京首都机场精选酒店	2019/12/1	商务出差	4	还不错就是房型差别有点大	['还不错就是房型差别有点大']	[0.0177868]	[]	[]
北京首都机场精选酒店	2019/7/1	情侣出游	3.5	房间挺干净，就是卫生间热水有点不好使，服务特别好	"['房间挺干净', '服务特别好', '就是卫生间热水有点不好使']"	"[0.0314117, 0.00212783, 0.00125595]"	[]	[]
北京首都机场精选酒店	2019/11/1	家庭亲子	3.5	没电梯，拿行李多的有些不方便。	"['没电梯', '拿行李多的有些不方便']"	"[0.790849, 0.117045]"	['没电梯']	[0.790849]
北京首都机场精选酒店	2019/12/1	商务出差	4.7	服务周到，有接送机服务，赞	"['服务周到', '有接送机服务']"	"[0.00681709, 0.0420398]"	[]	[]
北京首都机场精选酒店	2019/12/1	商务出差	4.2	离机场近，价格便宜，服务好	"['服务好', '离机场近', '价格便宜']"	"[0.0154092, 0.0188384, 0.0203627]"	[]	[]
北京首都机场精选酒店	2020/5/1	商务出差	4	总体来说不错	['总体来说不错']	[0.00115315]	[]	[]
北京首都机场精选酒店	2019/10/1	朋友出游	4.5	酒店位置非常棒，离机场非常近	"['酒店位置非常棒', '离机场非常近']"	"[6.82823e-05, 0.000725743]"	[]	[]
北京首都机场精选酒店	2020/8/1	其他	3	隔音不好，	['隔音不好']	[0.999571]	['隔音不好']	[0.999571]
北京首都机场精选酒店	2019/8/1	独自旅行	3	还算中规中矩。没啥亮点，也没啥大毛病。	"['没啥亮点', '也没啥大毛病', '还算中规中矩']"	"[0.977715, 0.754263, 0.0934422]"	"['没啥亮点', '也没啥大毛病']"	"[0.977715, 0.754263]"
北京首都机场精选酒店	2019/1/1	其他	4	酒店位置出行方便，有一个小型停车场，性价比很高了，而且店主会开车接送机，很不错。	"['很不错', '性价比很高了', '而且店主会开车接送机', '酒店位置出行方便', '有一个小型停车场']"	"[0.000313457, 9.38548e-05, 0.0228087, 0.000643196, 0.162942]"	[]	[]
北京首都机场精选酒店	2019/8/1	家庭亲子	1	太差了，就跟火车站旁边的小旅店一样	"['太差了', '就跟火车站旁边的小旅店一样']"	"[0.999997, 0.988972]"	"['太差了', '就跟火车站旁边的小旅店一样']"	"[0.999997, 0.988972]"
北京首都机场精选酒店	2020/8/1	其他	3.2	一般般吧。	['一般般吧']	[0.935495]	['一般般吧']	[0.935495]
北京首都机场精选酒店	2019/10/1	情侣出游	4.5	店家服务态度好，接车也很快	"['店家服务态度好', '接车也很快']"	"[0.0106261, 0.00329321]"	[]	[]
北京首都机场精选酒店	2019/10/1	家庭亲子	4	就是离机场近啊 住宿还可以吧	"['就是离机场近啊', '住宿还可以吧']"	"[0.00987991, 0.107626]"	[]	[]
北京首都机场精选酒店	2019/8/1	家庭亲子	4.2	房间小，但性价比可以，服务还好，有接机。	"['房间小', '有接机', '服务还好', '但性价比可以']"	"[0.887093, 0.0377805, 0.60516, 0.00124313]"	"['房间小', '服务还好']"	"[0.887093, 0.60516]"
北京首都机场精选酒店	2020/6/1	独自旅行	4	酒店很不错	['酒店很不错']	[0.000119678]	[]	[]
北京首都机场精选酒店	2019/12/1	商务出差	4.2	有点冷。小姐姐服务很好。	"['有点冷', '小姐姐服务很好']"	"[0.74089, 0.01265]"	['有点冷']	[0.74089]
北京首都机场精选酒店	2019/7/1	朋友出游	2	这个酒店不好，太差了，下次不会在住的。	"['这个酒店不好', '下次不会在住的', '太差了']"	"[0.953617, 0.999039, 0.999997]"	"['这个酒店不好', '下次不会在住的', '太差了']"	"[0.953617, 0.999039, 0.999997]"
北京首都机场精选酒店	2019/1/1	商务出差	4.5	离机场很近，酒店房间不大，比较干净安静，周边吃饭很方便，酒店免费接送服务很好	"['酒店免费接送服务很好', '酒店房间不大', '离机场很近', '周边吃饭很方便', '比较干净安静']"	"[0.000129369, 0.0474615, 0.00204103, 0.0170688, 0.017201]"	[]	[]
北京首都机场精选酒店	2019/6/1	独自旅行	4.2	房間裝修新，浴室乾淨，接送机及时，物超所值！	"['浴室乾淨', '物超所值', '房間裝修新', '接送机及时']"	"[0.248432, 0.000563886, 0.570439, 0.0253921]"	['房間裝修新']	[0.570439]
北京首都机场精选酒店	2019/11/1	商务出差	4.7	交通便利。 服务态度很好	"['交通便利', '服务态度很好']"	"[0.00470113, 0.00890883]"	[]	[]
北京首都机场精选酒店	2019/12/1	商务出差	4.5	交通方便，服务热情。	"['交通方便', '服务热情']"	"[0.00895121, 0.0353807]"	[]	[]
北京首都机场精选酒店	2019/12/1	情侣出游	4	就是只有一个椅子	['就是只有一个椅子']	[0.485806]	[]	[]
北京首都机场精选酒店	2019/8/1	家庭亲子	3.5	没有早餐，飞机起飞的声音大	"['没有早餐', '飞机起飞的声音大']"	"[0.827453, 0.654416]"	"['没有早餐', '飞机起飞的声音大']"	"[0.827453, 0.654416]"
北京首都机场精选酒店	2019/12/1	商务出差	4.7	空间大，环境还不错！	"['空间大', '环境还不错']"	"[0.000215014, 0.0708859]"	[]	[]
